               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096433,            0.041639,            0.062554,           0.0045809,              0.6101,            0.018305,           0.0061371,            0.073786,            0.026134,            0.057306,            0.070366,           0.0032927,           0.0032927
                   1,            0.068031,            0.039282,            0.055935,             0.27572,             0.16035,            0.069297,            0.028954,            0.059463,             0.02139,            0.050471,            0.040235,           0.0064948,           0.0064948
                   2,            0.063851,            0.036995,             0.05179,             0.61338,            0.096215,            0.068147,            0.028614,            0.061793,            0.019154,            0.047421,           0.0099715,            0.009565,            0.009565
                   3,            0.057962,            0.034699,            0.048784,             0.57662,             0.27335,             0.24317,             0.11606,            0.050464,             0.01835,            0.040742,            0.009406,            0.009406,            0.009406
                   4,            0.052287,            0.035074,            0.044826,             0.57062,             0.26284,              0.2466,             0.12556,            0.051052,            0.018229,            0.036388,            0.009406,            0.009406,            0.009406
                   5,            0.050114,            0.032867,            0.039512,             0.63413,             0.36276,             0.35528,             0.17663,            0.044331,            0.018213,            0.031376,            0.009208,            0.009208,            0.009208
                   6,            0.048414,            0.031029,            0.036902,             0.68111,             0.40646,             0.40131,             0.20769,            0.042437,            0.017633,            0.026783,             0.00901,             0.00901,             0.00901
                   7,            0.045603,            0.030977,             0.03178,             0.66392,             0.43762,             0.43093,             0.23962,            0.041305,            0.018586,            0.024113,            0.008812,            0.008812,            0.008812
                   8,            0.043159,            0.029525,            0.027086,             0.64173,             0.42221,             0.42323,             0.21301,            0.042732,            0.018135,             0.02256,            0.008614,            0.008614,            0.008614
                   9,            0.044226,            0.029827,            0.026001,             0.69285,             0.52677,             0.54803,             0.29156,            0.040978,            0.018269,            0.020312,            0.008416,            0.008416,            0.008416
                  10,            0.042633,            0.028438,            0.024386,             0.76332,             0.48746,             0.57516,             0.31331,             0.03908,            0.017528,            0.018737,            0.008218,            0.008218,            0.008218
                  11,            0.041789,              0.0279,            0.021855,             0.77835,             0.51375,             0.57297,             0.32292,            0.038561,            0.017071,            0.017764,             0.00802,             0.00802,             0.00802
                  12,            0.041088,            0.027157,            0.020493,             0.78751,             0.55799,             0.58581,             0.33094,            0.037725,            0.016398,            0.015818,            0.007822,            0.007822,            0.007822
                  13,            0.039097,            0.027987,            0.020111,             0.70702,             0.60475,             0.56962,             0.31428,            0.036919,            0.017102,            0.017396,            0.007624,            0.007624,            0.007624
                  14,            0.038538,            0.027504,            0.020628,             0.82896,             0.52844,             0.61962,             0.36218,            0.035082,            0.016729,            0.017442,            0.007426,            0.007426,            0.007426
                  15,            0.039133,            0.027198,            0.018191,              0.6315,             0.58757,             0.58868,             0.34759,            0.038099,            0.017177,            0.020106,            0.007228,            0.007228,            0.007228
                  16,             0.03758,            0.026796,            0.016953,             0.65436,             0.53437,              0.5976,             0.35363,            0.035932,            0.017565,             0.01854,             0.00703,             0.00703,             0.00703
                  17,            0.036711,             0.02688,            0.017531,              0.7753,             0.58033,             0.64904,             0.37875,            0.037351,            0.017013,            0.015559,            0.006832,            0.006832,            0.006832
                  18,              0.0361,            0.025983,            0.015955,             0.81132,             0.58655,             0.68263,             0.41633,            0.035155,            0.015983,            0.013771,            0.006634,            0.006634,            0.006634
                  19,            0.036677,            0.026063,            0.015531,             0.82332,             0.60795,             0.67189,              0.4229,            0.033722,            0.015507,            0.012732,            0.006436,            0.006436,            0.006436
