                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.88106,                  2.193,                 1.3658,                0.74868,                0.46509,                0.65407,                0.46892,                0.75683,                 2.2921,                 1.3324,             0.00041111,             0.00041111,             0.00041111
                      1,                0.89846,                 1.5007,                 1.3626,                0.67532,                0.71808,                0.73186,                0.46221,                0.99018,                 2.0432,                 1.5863,             0.00081958,             0.00081958,             0.00081958
                      2,                0.90514,                 1.3581,                 1.3371,                0.69748,                0.71147,                0.73981,                0.51121,                0.97102,                 1.6258,                 1.5368,              0.0012198,              0.0012198,              0.0012198
                      3,                0.91563,                 1.2728,                 1.3569,                0.70954,                0.68587,                0.74335,                0.53074,                0.91011,                 1.5414,                  1.515,              0.0012129,              0.0012129,              0.0012129
                      4,                0.89481,                 1.1342,                 1.3388,                0.74441,                 0.7558,                0.78363,                0.53919,                0.97566,                 1.2236,                 1.5064,              0.0012129,              0.0012129,              0.0012129
                      5,                0.88651,                 1.1151,                 1.3326,                0.85378,                0.67726,                0.82622,                0.62711,                0.81229,                 1.2477,                 1.3406,              0.0012005,              0.0012005,              0.0012005
                      6,                0.84662,                 1.0114,                  1.289,                 0.8376,                 0.7916,                0.89285,                 0.6902,                0.77298,                0.91766,                  1.299,              0.0011881,              0.0011881,              0.0011881
                      7,                0.83756,                0.96294,                 1.2883,                0.76796,                0.69215,                0.78979,                0.56013,                0.92824,                 1.2163,                 1.4761,              0.0011757,              0.0011757,              0.0011757
                      8,                0.83389,                0.92079,                 1.2871,                0.86265,                0.79308,                0.90804,                0.65526,                0.90133,                 1.0546,                 1.5016,              0.0011634,              0.0011634,              0.0011634
                      9,                0.80276,                0.86849,                 1.2724,                0.88146,                0.86808,                0.92548,                0.73899,                 0.7295,                0.71645,                 1.2856,               0.001151,               0.001151,               0.001151
                     10,                0.79516,                0.86592,                 1.2498,                0.87943,                0.84485,                0.89744,                 0.7209,                0.70663,                0.75922,                 1.2338,              0.0011386,              0.0011386,              0.0011386
                     11,                0.78641,                0.81374,                  1.241,                0.84819,                0.82735,                0.89708,                0.70607,                0.72297,                0.82899,                 1.2543,              0.0011263,              0.0011263,              0.0011263
                     12,                0.77587,                0.79551,                 1.2393,                0.79634,                0.75291,                0.83305,                0.60762,                0.87128,                0.92844,                 1.4704,              0.0011139,              0.0011139,              0.0011139
                     13,                0.76448,                0.76654,                 1.2284,                0.89059,                0.86955,                0.94582,                0.75872,                0.67557,                0.67129,                  1.185,              0.0011015,              0.0011015,              0.0011015
                     14,                0.78243,                0.75613,                 1.2419,                0.92129,                0.83951,                0.91592,                 0.7222,                0.72376,                0.70545,                 1.2382,              0.0010891,              0.0010891,              0.0010891
                     15,                0.77268,                0.74696,                 1.2349,                0.88964,                 0.8682,                0.93166,                0.74404,                0.72218,                 0.6867,                 1.2614,              0.0010768,              0.0010768,              0.0010768
                     16,                0.76098,                0.72693,                 1.2339,                0.89545,                0.87665,                0.92616,                0.74306,                0.74552,                 0.6551,                 1.2728,              0.0010644,              0.0010644,              0.0010644
                     17,                0.75088,                0.69696,                 1.2173,                0.86745,                0.84306,                0.91004,                0.76261,                 0.6305,                0.70002,                 1.1719,               0.001052,               0.001052,               0.001052
                     18,                0.71932,                0.69237,                 1.1968,                0.90844,                0.90677,                0.94725,                 0.7957,                0.63172,                0.55406,                 1.1728,              0.0010396,              0.0010396,              0.0010396
                     19,                0.73036,                0.66397,                 1.2074,                0.93082,                0.89851,                 0.9473,                0.79367,                0.62166,                0.55842,                 1.1459,              0.0010273,              0.0010273,              0.0010273
                     20,                0.72868,                0.66489,                 1.2113,                0.81816,                0.84442,                 0.8963,                0.66466,                0.76972,                0.71233,                 1.3043,              0.0010149,              0.0010149,              0.0010149
                     21,                0.72771,                0.67486,                 1.2046,                0.92523,                0.88689,                0.94697,                0.78916,                0.62166,                0.54589,                 1.1652,              0.0010025,              0.0010025,              0.0010025
                     22,                0.72687,                 0.6628,                  1.207,                0.88757,                0.90959,                0.95265,                0.79448,                0.63493,                0.52657,                 1.1762,             0.00099013,             0.00099013,             0.00099013
                     23,                0.71136,                0.63107,                 1.2013,                0.89013,                0.91719,                0.94427,                0.78481,                 0.6321,                0.54155,                 1.1683,             0.00097775,             0.00097775,             0.00097775
                     24,                0.73065,                0.65885,                 1.2166,                0.89005,                0.89888,                0.94082,                0.78699,                0.63853,                0.55144,                 1.1643,             0.00096537,             0.00096537,             0.00096537
                     25,                 0.7145,                0.61938,                 1.1969,                0.91344,                0.90827,                0.94312,                 0.7857,                0.65524,                 0.5556,                 1.1891,               0.000953,               0.000953,               0.000953
                     26,                0.71905,                0.61632,                 1.1934,                0.94077,                0.88539,                0.95473,                0.79978,                0.63936,                0.52798,                 1.1785,             0.00094062,             0.00094062,             0.00094062
                     27,                0.67983,                0.59232,                 1.1788,                0.92032,                0.93866,                0.96378,                0.81698,                0.61762,                0.49456,                 1.1399,             0.00092825,             0.00092825,             0.00092825
                     28,                0.67917,                0.58759,                 1.1729,                0.91134,                0.90559,                0.94874,                0.79386,                0.64642,                0.51548,                 1.1631,             0.00091588,             0.00091588,             0.00091588
                     29,                0.70215,                0.58353,                 1.1746,                0.88259,                0.90596,                0.95189,                0.79105,                0.63992,                0.53516,                 1.1728,              0.0009035,              0.0009035,              0.0009035
                     30,                0.68319,                0.58251,                 1.1732,                0.94869,                0.91308,                0.96763,                0.82243,                  0.584,                 0.4708,                 1.1223,             0.00089112,             0.00089112,             0.00089112
                     31,                0.69169,                0.59125,                 1.1844,                0.90408,                0.92209,                0.95212,                   0.78,                0.65919,                0.56057,                 1.1789,             0.00087875,             0.00087875,             0.00087875
                     32,                0.69238,                0.58322,                 1.1847,                0.94265,                0.94012,                0.95752,                0.81725,                 0.5971,                0.44767,                 1.1285,             0.00086637,             0.00086637,             0.00086637
                     33,                0.66835,                 0.5428,                 1.1631,                0.91741,                0.95808,                0.96294,                0.82456,                0.58607,                0.42363,                 1.1284,               0.000854,               0.000854,               0.000854
                     34,                0.66157,                0.53568,                  1.154,                0.92273,                0.93605,                0.95281,                0.81728,                0.57803,                0.43569,                 1.1136,             0.00084162,             0.00084162,             0.00084162
                     35,                0.66145,                0.54881,                  1.148,                0.94761,                0.90471,                 0.9628,                0.81632,                0.59089,                0.45426,                 1.1298,             0.00082925,             0.00082925,             0.00082925
                     36,                0.65342,                0.52872,                 1.1501,                 0.9303,                0.92562,                  0.961,                0.81452,                0.61031,                0.43622,                 1.1564,             0.00081688,             0.00081688,             0.00081688
                     37,                0.65667,                0.53467,                  1.147,                0.93328,                0.91289,                0.95692,                0.81268,                0.59278,                0.45099,                 1.1244,              0.0008045,              0.0008045,              0.0008045
